path	kind	loc	symbols	included_by_project_yml	included_by_xcode_build	app_reachable_or_build_included	referenced_by_swift	verdict	evidence	last_commit	last_commit_date	last_author
ui/Sources/Models/PressureGraphModels.swift	swift	205	PressureGraphDTO;CodingKeys;DecisionLayerDTO;DecisionNodeDTO;CodingKeys;DecisionEdgeDTO;GraphMetricsDTO;CodingKeys;AttackChainDTO;CodingKeys;PressurePointDTO;CodingKeys;GraphCountDTO;PressureNodeDTO;CodingKeys;PressureNodeDataDTO;CodingKeys;PressureEdgeDTO;CodingKeys;PressureEdgeDataDTO;CodingKeys	yes	yes	yes	ui/Sources/Graph/NeuralGraphView.swift;ui/Sources/Models/HelixAppState.swift;ui/Sources/Services/CortexStream.swift;ui/Sources/Services/SentinelAPIClient.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Graph/NeuralGraphView.swift,ui/Sources/Models/HelixAppState.swift,ui/Sources/Services/CortexStream.swift,ui/Sources/Services/SentinelAPIClient.swift	3216565	2026-02-10	Jbase16
ui/Sources/Models/SharedModels.swift	swift	202	SidebarTab;LogItem;ScanProgress;ScanState;ToolProgress;ChatMessage;Role;ChatThread;Decision	yes	yes	yes	ui/Sources/Core/AppReducer.swift;ui/Sources/Core/ScanProjection.swift;ui/Sources/Models/HelixAppState.swift;ui/Sources/Services/CortexStream.swift;ui/Sources/Services/LLMService.swift;ui/Sources/Views/ChatBubbleView.swift;ui/Sources/Views/Dashboard/DashboardView.swift;ui/Sources/Views/Dashboard/DecisionStreamView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Core/AppReducer.swift,ui/Sources/Core/ScanProjection.swift,ui/Sources/Models/HelixAppState.swift,ui/Sources/Services/CortexStream.swift,ui/Sources/Services/LLMService.swift,ui/Sources/Views/ChatBubbleView.swift	cbae416	2026-02-01	Jbase16
ui/Sources/Models/ToolMetadataModels.swift	swift	27	ToolMetadataResponse;ToolMetadata;CodingKeys;ModeTierInfo;CodingKeys	yes	yes	yes	ui/Sources/Models/HelixAppState.swift;ui/Sources/Services/SentinelAPIClient.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Models/HelixAppState.swift,ui/Sources/Services/SentinelAPIClient.swift	e583193	2026-02-14	Jbase16
ui/Sources/Resources/terminal/index.html	html	48		yes	no	no		UI_REVIEW	included_by_project_yml	5a0ffc1	2026-01-01	Jbase16
ui/Sources/SentinelForgeApp.swift	swift	68	AppDelegate;SentinelApp	yes	yes	yes		UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included	d99924d	2026-01-04	Jbase16
ui/Sources/Services/BackendManager.swift	swift	796	BackendConfigKeys;BackendRuntimeSelection;BackendManager	yes	yes	yes	ui/BackendState.swift;ui/ErrorClassifier.swift;ui/RetryBackoff.swift;ui/Sources/Core/BackendState.swift;ui/Sources/Core/ErrorClassifier.swift;ui/Sources/Core/RetryBackoff.swift;ui/Sources/Models/HelixAppState.swift;ui/Sources/SentinelForgeApp.swift;ui/Sources/Views/Components/StatusComponents.swift;ui/Sources/Views/Dashboard/DashboardView.swift;ui/Sources/Views/MainWindowView.swift;ui/Sources/Views/Navigation/ChatView.swift;ui/Sources/Views/Report/ReportComposerView.swift;ui/Sources/Views/Scan/ScanControlView.swift;ui/Sources/Views/Settings/BackendSettingsView.swift;ui/Sources/Views/ToolsBankView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/BackendState.swift,ui/ErrorClassifier.swift,ui/RetryBackoff.swift,ui/Sources/Core/BackendState.swift,ui/Sources/Core/ErrorClassifier.swift,ui/Sources/Core/RetryBackoff.swift	bc65422	2026-06-18	Jbase16
ui/Sources/Services/CortexStream.swift	swift	639	CortexStream;NodeModel;EdgeModel;GraphData;CodingKeys	yes	yes	yes	ui/Sources/Graph/GraphRenderer.swift;ui/Sources/Graph/NeuralGraphView.swift;ui/Sources/Models/HelixAppState.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Graph/GraphRenderer.swift,ui/Sources/Graph/NeuralGraphView.swift,ui/Sources/Models/HelixAppState.swift	9dedda5	2026-02-15	Jbase16
ui/Sources/Services/EventStreamClient.swift	swift	386	GraphEvent;GraphEventType;EventStreamClient	yes	yes	yes	ui/BackendState.swift;ui/ErrorClassifier.swift;ui/RetryBackoff.swift;ui/Sources/Core/AppReducer.swift;ui/Sources/Core/BackendState.swift;ui/Sources/Core/ErrorClassifier.swift;ui/Sources/Core/RetryBackoff.swift;ui/Sources/Core/ScanProjection.swift;ui/Sources/Graph/NeuralGraphView.swift;ui/Sources/Models/HelixAppState.swift;ui/Sources/Services/CortexStream.swift;ui/Sources/Services/LedgerStreamClient.swift;ui/Sources/Views/Audit/AuditFeedView.swift;ui/Tests/Sources/TestRunner/CriticalPathTests.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/BackendState.swift,ui/ErrorClassifier.swift,ui/RetryBackoff.swift,ui/Sources/Core/AppReducer.swift,ui/Sources/Core/BackendState.swift,ui/Sources/Core/ErrorClassifier.swift	a29e3eb	2026-02-15	Jbase16
ui/Sources/Services/FoundryAPIClient.swift	swift	219	FoundryChallenge;CodingKeys;FoundryAccountRequirement;CodingKeys;FoundryAccountPlan;CodingKeys;FoundryPersona;CodingKeys;FoundryRecipeSummary;CodingKeys;FoundrySignupJob;CodingKeys;FoundryAPIError;FoundryAPIClient;R	yes	yes	yes	ui/Sources/Models/HelixAppState.swift;ui/Sources/Views/Foundry/FoundryConsoleView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Models/HelixAppState.swift,ui/Sources/Views/Foundry/FoundryConsoleView.swift	de06331	2026-06-09	Jbase16
ui/Sources/Services/GenerateModels.swift	swift	24	GenerateRequest;GenerateChunk	yes	yes	yes		UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included	08a3276	2025-12-17	Jason Phillips
